venda_id;vendedor;data_compra;veiculo;valor;comprador;forma_pagamento;;
1;8;01/01/2022;8;19000;1347;parcelado;;
2;2;01/01/2022;9;45000;6963;cartao;;
3;1;01/01/2022;17;365300;4848;cheque;;
4;1;01/01/2022;3;20000;5591;carne;;
5;8;01/01/2022;15;422000;2916;cheque;;
6;2;01/01/2022;21;125000;5285;parcelado;;
7;2;01/01/2022;7;150000;2241;cheque;;
8;1;01/01/2022;11;4200000;1742;avista;;
9;2;01/01/2022;17;365300;2008;carne;;
10;2;01/01/2022;21;125000;3881;avista;;
11;8;02/01/2022;10;3500000;3188;cheque;;
12;1;02/01/2022;6;125000;2833;parcelado;;
13;8;02/01/2022;12;123000;2940;parcelado;;
14;2;02/01/2022;27;98000;6639;carne;;
15;2;02/01/2022;19;98000;1387;avista;;
16;2;02/01/2022;4;450000;396;cartao;;
17;2;02/01/2022;30;530000;6759;carne;;
18;1;02/01/2022;30;530000;957;carne;;
19;1;02/01/2022;9;45000;13;cheque;;
20;2;02/01/2022;16;120000;1457;carne;;
21;1;02/01/2022;8;19000;5439;cheque;;
22;8;02/01/2022;3;20000;6029;avista;;
23;1;03/01/2022;14;17000;6137;parcelado;;
24;1;03/01/2022;3;20000;4132;avista;;
25;8;03/01/2022;7;150000;6148;avista;;
26;2;03/01/2022;18;258000;4111;avista;;
27;1;03/01/2022;10;3500000;4960;avista;;
28;8;03/01/2022;23;210000;4977;cartao;;
29;8;03/01/2022;30;530000;6062;carne;;
30;8;03/01/2022;16;120000;3469;avista;;
31;1;03/01/2022;7;150000;7702;avista;;
32;1;03/01/2022;19;125000;1836;carne;;
33;8;04/01/2022;22;365000;5526;cartao;;
34;2;04/01/2022;18;258000;1126;parcelado;;
35;2;04/01/2022;13;1200000;340;parcelado;;
36;2;04/01/2022;16;120000;5692;cheque;;
37;8;04/01/2022;11;4200000;780;avista;;
38;2;04/01/2022;24;127000;206;avista;;
39;8;04/01/2022;29;450000;3419;avista;;
40;8;04/01/2022;30;530000;1297;cheque;;
41;2;04/01/2022;2;300000;4560;avista;;
42;8;04/01/2022;26;150000;7701;parcelado;;
43;1;04/01/2022;22;365000;3128;cheque;;
44;2;05/01/2022;4;450000;6466;parcelado;;
45;2;05/01/2022;28;41000;5496;cartao;;
46;8;05/01/2022;2;300000;5140;cheque;;
47;1;05/01/2022;28;41000;416;parcelado;;
48;1;05/01/2022;9;45000;1925;cartao;;
49;2;05/01/2022;19;32500;492;cartao;;
50;8;05/01/2022;9;45000;6478;parcelado;;
51;8;05/01/2022;2;300000;7315;avista;;
52;2;05/01/2022;11;4200000;1219;cheque;;
53;8;05/01/2022;9;45000;1823;cheque;;
54;2;05/01/2022;3;20000;6598;cheque;;
55;1;05/01/2022;29;450000;7433;cartao;;
56;1;05/01/2022;30;530000;3204;cheque;;
57;8;06/01/2022;13;1200000;3087;cheque;;
58;2;06/01/2022;14;17000;966;parcelado;;
59;2;06/01/2022;10;3500000;803;cheque;;
60;1;06/01/2022;10;3500000;3803;parcelado;;
61;2;06/01/2022;5;200000;5484;carne;;
62;8;06/01/2022;20;30000;491;cartao;;
63;8;06/01/2022;21;125000;4148;avista;;
64;1;06/01/2022;19;32500;846;cheque;;
65;2;06/01/2022;17;365300;6076;carne;;
66;2;06/01/2022;20;30000;4142;avista;;
67;1;06/01/2022;12;123000;5334;avista;;
68;8;07/01/2022;17;365300;5961;cheque;;
69;1;07/01/2022;20;30000;1753;avista;;
70;8;07/01/2022;5;200000;298;cheque;;
71;1;07/01/2022;1;3000000;6402;cheque;;
72;8;07/01/2022;27;98000;2869;parcelado;;
73;1;07/01/2022;8;19000;2316;parcelado;;
74;1;07/01/2022;6;125000;184;cartao;;
75;2;07/01/2022;16;120000;5933;parcelado;;
76;8;07/01/2022;24;127000;5459;carne;;
77;8;07/01/2022;5;200000;4885;avista;;
78;1;07/01/2022;18;258000;1193;cartao;;
79;1;08/01/2022;22;365000;5593;cartao;;
80;8;08/01/2022;6;125000;5301;cartao;;
81;8;08/01/2022;23;210000;1574;parcelado;;
82;1;08/01/2022;22;365000;1623;cartao;;
83;1;08/01/2022;8;19000;3992;cheque;;
84;2;08/01/2022;23;210000;1078;parcelado;;
85;1;08/01/2022;1;3000000;7275;carne;;
86;8;08/01/2022;14;17000;2077;cartao;;
87;8;08/01/2022;16;120000;3870;cartao;;
88;1;08/01/2022;11;4200000;1449;parcelado;;
89;8;08/01/2022;22;365000;6928;cheque;;
90;2;09/01/2022;9;45000;6198;cheque;;
91;2;09/01/2022;24;127000;3860;avista;;
92;8;09/01/2022;16;120000;2542;avista;;
93;1;09/01/2022;23;210000;5624;cheque;;
94;1;09/01/2022;10;3500000;7475;cartao;;
95;8;09/01/2022;19;32500;4060;carne;;
96;2;09/01/2022;4;450000;1818;parcelado;;
97;8;09/01/2022;7;150000;5875;cheque;;
98;2;09/01/2022;3;20000;4247;cheque;;
99;2;09/01/2022;10;3500000;3144;parcelado;;
100;2;10/01/2022;12;123000;5554;cheque;;
101;1;10/01/2022;21;125000;6910;cartao;;
102;1;10/01/2022;11;4200000;3369;parcelado;;
103;8;10/01/2022;15;422000;1758;parcelado;;
104;8;10/01/2022;19;32500;3561;carne;;
105;1;10/01/2022;21;125000;7023;parcelado;;
106;1;10/01/2022;20;30000;823;cartao;;
107;8;10/01/2022;6;125000;2148;cartao;;
108;8;10/01/2022;27;98000;1010;cartao;;
109;1;10/01/2022;2;300000;1381;cartao;;
110;8;10/01/2022;3;20000;7129;avista;;
111;1;10/01/2022;26;150000;3998;parcelado;;
112;1;10/01/2022;1;3000000;1540;parcelado;;
113;2;10/01/2022;20;30000;2271;parcelado;;
114;8;10/01/2022;12;123000;6663;cartao;;
115;2;10/01/2022;15;422000;5988;parcelado;;
116;2;10/01/2022;2;300000;5340;avista;;
117;2;10/01/2022;27;98000;580;carne;;
118;1;11/01/2022;18;258000;3455;parcelado;;
119;8;11/01/2022;5;200000;1539;cartao;;
120;1;11/01/2022;17;365300;6683;parcelado;;
121;8;11/01/2022;4;450000;4635;cartao;;
122;1;11/01/2022;26;150000;67;cartao;;
123;1;11/01/2022;27;98000;5018;avista;;
124;8;11/01/2022;8;19000;5682;avista;;
125;1;11/01/2022;24;127000;3027;carne;;
